mean,lower,upper,rat,STATE,RACE,SEX
0.311574440076408,0.3001711345149366,0.3229777456378794,n02,22,Non-White,2
0.311574440076408,0.24286978677239918,0.3802790933804168,n02,22,Non-White,2
0.311574440076408,0.21508286845732924,0.40806601169548673,n02,22,Non-White,2
0.311574440076408,0.19367228826646196,0.429476591886354,n02,22,Non-White,2
0.311574440076408,0.17559204632886682,0.4475568338239492,n02,22,Non-White,2
0.311574440076408,0.15964845343420414,0.46350042671861186,n02,22,Non-White,2
0.3166920321336664,0.3085619144907014,0.32482214977663143,n01,22,Non-White,2
0.3166920321336664,0.2740987910835724,0.35928527318376047,n01,22,Non-White,2
0.3166920321336664,0.25700728070238055,0.3763767835649523,n01,22,Non-White,2
0.3166920321336664,0.243819850035987,0.38956421423134585,n01,22,Non-White,2
0.3166920321336664,0.2326775078301847,0.40070655643714814,n01,22,Non-White,2
0.3166920321336664,0.2228489414758919,0.41053512279144094,n01,22,Non-White,2
0.25315049781260235,0.24501709438194655,0.2612839012432581,n02,22,White,2
0.25315049781260235,0.2062878878268286,0.3000131077983761,n02,22,White,2
0.25315049781260235,0.18737773614037456,0.31892325948483013,n02,22,White,2
0.25315049781260235,0.17280120944422533,0.33349978618097936,n02,22,White,2
0.25315049781260235,0.16049004182075252,0.34581095380445215,n02,22,White,2
0.25315049781260235,0.14963280817488642,0.35666818745031825,n02,22,White,2
0.26702813117496604,0.2605164528295172,0.2735398095204149,n01,22,White,2
0.26702813117496604,0.23382243798690136,0.3002338243630307,n01,22,White,2
0.26702813117496604,0.22052185025157697,0.3135344120983551,n01,22,White,2
0.26702813117496604,0.2102562167229196,0.3238000456270125,n01,22,White,2
0.26702813117496604,0.20158146299563262,0.33247479935429947,n01,22,White,2
0.26702813117496604,0.19392900340314467,0.3401272589467874,n01,22,White,2
0.3101421097983085,0.2975342978931377,0.32274992170347927,n02,28,Non-White,2
0.3101421097983085,0.23404450286848213,0.38623971672813484,n02,28,Non-White,2
0.3101421097983085,0.20326491559928142,0.41701930399733556,n02,28,Non-White,2
0.3101421097983085,0.17954875813266383,0.44073546146395315,n02,28,Non-White,2
0.3101421097983085,0.15952168502571357,0.4607625345709034,n02,28,Non-White,2
0.3101421097983085,0.1418613883294274,0.47842283126718954,n02,28,Non-White,2
0.31874294956850363,0.31024337937810736,0.3272425197588999,n01,28,Non-White,2
0.31874294956850363,0.273212174725511,0.36427372441149625,n01,28,Non-White,2
0.31874294956850363,0.25491615094766484,0.3825697481893424,n01,28,Non-White,2
0.31874294956850363,0.24080278670899377,0.39668311242801346,n01,28,Non-White,2
0.31874294956850363,0.2288792875523765,0.40860661158463074,n01,28,Non-White,2
0.31874294956850363,0.21836224168431634,0.4191236574526909,n01,28,Non-White,2
0.27037174458317126,0.26360873715429384,0.2771347520120487,n02,28,White,2
0.27037174458317126,0.23206884928117075,0.3086746398851718,n02,28,White,2
0.27037174458317126,0.21662711408347413,0.3241163750828684,n02,28,White,2
0.27037174458317126,0.2047222295310253,0.3360212596353172,n02,28,White,2
0.27037174458317126,0.19466684153445918,0.34607664763188334,n02,28,White,2
0.27037174458317126,0.18579866455975091,0.3549448246065916,n02,28,White,2
0.27511045031849063,0.26972644811267815,0.2804944525243031,n01,28,White,2
0.27511045031849063,0.24862646845508304,0.3015944321818982,n01,28,White,2
0.27511045031849063,0.23804543836745506,0.3121754622695262,n01,28,White,2
0.27511045031849063,0.22987518833716108,0.3203457122998202,n01,28,White,2
0.27511045031849063,0.2229698448165536,0.32725105582042763,n01,28,White,2
0.27511045031849063,0.21687767125293572,0.33334322938404554,n01,28,White,2
